site_number;trn_transaction_date;trn_promotion_id;trn_item_number;units;gross_amount;vat;cost_price
210870;2017-08-26;0;1036623;5.0;160.0;32.0;84.5
210929;2017-08-26;0;1036513;5.0;50.0;10.0;38.25
210929;2017-08-26;0;1110358;2.0;50.0;10.0;24.92
210929;2017-08-26;0;1038203;1.0;12.0;2.4;5.52
210845;2017-08-26;0;1036903;3.0;30.0;6.0;22.62
210350;2017-08-26;0;1036196;2.0;48.0;9.6;24.62
210929;2017-08-26;0;1110359;3.0;42.0;8.3999999999999986;17.79
210350;2017-08-26;0;1038466;3.0;72.0;14.399999999999999;36.21
210845;2017-08-26;0;1098674;1.0;25.0;5.0;13.06
210929;2017-08-26;0;1098677;2.0;72.0;14.4;38.14
210870;2017-08-26;0;1098825;1.0;30.0;6.0;13.99
210929;2017-08-26;0;1098678;3.0;75.0;15.0;37.230000000000004
210845;2017-08-26;0;1098825;6.0;180.0;36.0;55.96
210929;2017-08-26;0;1038625;1.0;17.0;3.4;8.56
210929;2017-08-26;0;1098560;1.0;17.0;3.4;8.72
210870;2017-08-26;0;1098560;2.0;34.0;6.8;17.44
210870;2017-08-26;0;1098824;2.0;52.0;10.4;26.18
210240;2017-08-26;0;1098825;3.0;90.0;18.0;41.97
210929;2017-08-26;0;1098817;1.0;17.0;3.4;8.04
210870;2017-08-26;0;1110359;2.0;28.0;5.6;11.86
210845;2017-08-26;0;1110346;1.0;25.0;5.0;13.06
210845;2017-08-26;0;1038203;3.0;36.0;7.1999999999999993;16.56
210240;2017-08-26;0;1098817;1.0;17.0;3.4;8.04
210845;2017-08-26;0;1098825;1.0;21.0;4.2;13.99
210350;2017-08-26;0;1098825;1.0;30.0;6.0;13.99
210870;2017-08-26;0;1036903;6.0;60.0;12.0;45.24
210870;2017-08-26;0;1038229;14.0;140.0;28.0;105.84000000000002
210845;2017-08-26;0;1036513;7.0;70.0;14.0;30.6
210845;2017-08-26;0;1038466;3.0;72.0;14.399999999999999;36.21
210350;2017-08-26;0;1038229;1.0;0.0;0.0;7.56
210350;2017-08-26;0;1098560;1.0;17.0;3.4;8.72
210845;2017-08-26;0;1098817;1.0;11.9;2.38;8.04
210929;2017-08-26;0;1036903;5.0;50.0;10.0;37.7
210845;2017-08-26;0;1098824;2.0;52.0;10.4;26.18
210870;2017-08-26;0;1036513;9.0;90.0;18.0;68.85
210845;2017-08-26;0;1036623;2.0;64.0;12.8;33.8
210870;2017-08-26;0;1098674;2.0;50.0;10.0;26.12
210845;2017-08-26;0;1098677;2.0;72.0;14.4;38.14
210845;2017-08-26;0;1036103;5.0;50.0;10.0;42.95
210350;2017-08-26;0;1038625;1.0;17.0;3.4;8.56
210929;2017-08-26;0;1098823;1.0;26.0;5.2;12.85
210870;2017-08-26;0;1038625;1.0;17.0;3.4;8.56
210929;2017-08-26;0;1038466;4.0;96.0;19.2;48.28
210870;2017-08-26;0;1098817;2.0;34.0;6.8;16.08
210350;2017-08-26;0;1036623;3.0;96.0;19.200000000000003;50.699999999999996
210929;2017-08-26;0;1098825;1.0;30.0;6.0;13.99
210845;2017-08-26;0;1110349;2.0;64.0;12.8;33.78
210240;2017-08-26;0;1098824;2.0;52.0;10.4;26.18
210870;2017-08-26;0;1038466;1.0;24.0;4.8;12.07
210929;2017-08-26;0;1098824;1.0;26.0;5.2;13.09
210240;2017-08-26;0;1098674;1.0;25.0;5.0;13.06
210845;2017-08-26;0;1038229;8.0;80.0;16.0;52.92
210240;2017-08-26;0;1038203;3.0;36.0;7.1999999999999993;16.56
210870;2017-08-26;0;1036196;4.0;96.0;19.2;36.93
210929;2017-08-26;0;1098674;2.0;50.0;10.0;26.12
210240;2017-08-26;0;1098678;6.0;150.0;30.0;12.41
210929;2017-08-26;0;1038229;6.0;60.0;12.0;45.36
210240;2017-08-26;0;1098826;1.0;30.0;6.0;14.0
210929;2017-08-26;0;1036103;2.0;20.0;4.0;17.18
210240;2017-08-26;0;1038229;5.0;50.0;10.0;30.24
210240;2017-08-26;0;1036196;1.0;24.0;4.8;12.31
210350;2017-08-26;0;1036103;4.0;40.0;8.0;34.36
210240;2017-08-26;0;1038625;2.0;34.0;6.8;17.12
210350;2017-08-26;0;1038203;2.0;24.0;4.8;5.52
210929;2017-08-26;0;1036196;11.0;264.0;52.79999999999999;135.41
210240;2017-08-26;0;1036103;4.0;40.0;8.0;34.36
210350;2017-08-26;0;1098817;1.0;17.0;3.4;8.04
210870;2017-08-26;0;1036103;6.0;60.0;12.0;51.540000000000006
210240;2017-08-26;0;1036903;4.0;40.0;8.0;30.16
210845;2017-08-26;0;1098560;3.0;51.0;10.2;26.160000000000004
210870;2017-08-25;0;1098826;7.0;210.0;42.0;56.0
210929;2017-08-25;0;1098817;2.0;34.0;6.8;16.08
210845;2017-08-25;0;1098824;2.0;52.0;10.4;26.18
210845;2017-08-25;0;1038229;4.0;40.0;8.0;15.12
210870;2017-08-25;0;1036513;2.0;20.0;4.0;15.3
210845;2017-08-25;0;1036623;5.0;160.0;32.0;67.6
210240;2017-08-25;0;1098560;1.0;17.0;3.4;8.72
210350;2017-08-25;0;1110358;1.0;25.0;5.0;12.46
210929;2017-08-25;0;1038203;2.0;24.0;4.8;11.04
210870;2017-08-25;0;1098822;1.0;26.0;5.2;12.85
210929;2017-08-25;0;1038466;8.0;192.0;38.4;96.56
210929;2017-08-25;0;1110349;2.0;64.0;12.8;33.78
210870;2017-08-25;0;1098677;2.0;72.0;14.4;38.14
210929;2017-08-25;0;1038229;1.0;0.0;0.0;7.56
210870;2017-08-25;0;1036103;4.0;40.0;8.0;34.36
210929;2017-08-25;0;1098824;2.0;52.0;10.4;26.18
210870;2017-08-25;0;1098678;2.0;50.0;10.0;24.82
210929;2017-08-25;0;1098823;2.0;52.0;10.4;25.7
210350;2017-08-25;0;1036196;3.0;72.0;14.399999999999999;36.93
210870;2017-08-25;0;1098824;1.0;26.0;5.2;13.09
210929;2017-08-25;0;1110359;2.0;28.0;5.6;11.86
210929;2017-08-25;0;1098825;2.0;60.0;12.0;27.98
210240;2017-08-25;0;1098674;1.0;25.0;5.0;13.06
210870;2017-08-25;0;1038229;2.0;0.0;0.0;15.12
210845;2017-08-25;0;1098822;1.0;26.0;5.2;12.85
210870;2017-08-25;0;1098674;1.0;25.0;5.0;13.06
